"","x"
"1",790
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",2
"87",2
"88",2
"89",2
"90",2
"91",2
"92",2
"93",2
"94",2
"95",2
"96",2
"97",2
"98",2
"99",2
"100",2
"101",2
"102",2
"103",2
"104",2
"105",2
"106",2
"107",2
"108",2
"109",2
"110",2
"111",2
"112",2
"113",2
"114",2
"115",2
"116",2
"117",2
"118",2
"119",2
"120",2
"121",2
"122",2
"123",2
"124",2
"125",2
"126",2
"127",2
"128",3
"129",3
"130",3
"131",3
"132",3
"133",3
"134",3
"135",3
"136",3
"137",3
"138",3
"139",3
"140",3
"141",3
"142",3
"143",3
"144",3
"145",3
"146",3
"147",3
"148",3
"149",3
"150",3
"151",3
"152",3
"153",3
"154",3
"155",3
"156",4
"157",4
"158",4
"159",4
"160",4
"161",4
"162",4
"163",4
"164",4
"165",4
"166",4
"167",4
"168",4
"169",4
"170",4
"171",4
"172",4
"173",4
"174",4
"175",4
"176",4
"177",5
"178",5
"179",5
"180",5
"181",5
"182",5
"183",5
"184",6
"185",6
"186",6
"187",6
"188",6
"189",6
"190",6
"191",6
"192",6
"193",7
"194",7
"195",7
"196",7
"197",7
"198",7
"199",7
"200",7
"201",7
"202",8
"203",8
"204",8
"205",8
"206",8
"207",8
"208",9
"209",9
"210",9
"211",9
"212",9
"213",10
"214",10
"215",10
"216",10
"217",10
"218",10
"219",11
"220",11
"221",11
"222",11
"223",12
"224",12
"225",12
"226",13
"227",14
"228",15
"229",15
"230",15
"231",15
"232",18
"233",18
"234",20
"235",23
"236",24
"237",25
"238",26
"239",29
"240",31
"241",30
"242",35
"243",35
"244",38
"245",39
"246",40
"247",41
"248",49
"249",51
"250",50
"251",54
"252",60
"253",62
"254",67
"255",67
"256",71
"257",73
"258",73
"259",72
"260",81
"261",88
"262",95
"263",164
"264",246
"265",271
"266",1
"267",1
"268",1
"269",1
"270",1
"271",1
"272",1
"273",1
"274",1
"275",1
"276",1
"277",1
"278",1
"279",1
"280",1
"281",1
"282",1
"283",1
"284",1
"285",1
"286",1
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",1
"294",1
"295",1
"296",1
"297",1
"298",1
"299",1
"300",1
"301",1
"302",1
"303",1
"304",1
"305",1
"306",1
"307",1
"308",1
"309",1
"310",1
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",1
"318",1
"319",1
"320",1
"321",1
"322",1
"323",1
"324",1
"325",1
"326",1
"327",1
"328",1
"329",1
"330",1
"331",1
"332",1
"333",1
"334",1
"335",1
"336",1
"337",1
"338",1
"339",1
"340",1
"341",1
"342",1
"343",1
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",1
"357",1
"358",1
"359",1
"360",1
"361",1
"362",1
"363",1
"364",1
"365",1
"366",1
"367",1
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",1
"398",1
"399",1
"400",1
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",1
"409",1
"410",1
"411",1
"412",1
"413",1
"414",1
"415",1
"416",1
"417",1
"418",1
"419",1
"420",1
"421",1
"422",1
"423",1
"424",1
"425",1
"426",1
"427",1
"428",1
"429",1
"430",1
"431",1
"432",1
"433",1
"434",1
"435",1
"436",1
"437",1
"438",1
"439",1
"440",2
"441",2
"442",2
"443",2
"444",2
"445",2
"446",2
"447",2
"448",2
"449",2
"450",2
"451",2
"452",2
"453",2
"454",2
"455",2
"456",2
"457",2
"458",2
"459",2
"460",2
"461",2
"462",2
"463",2
"464",2
"465",2
"466",2
"467",2
"468",2
"469",2
"470",2
"471",2
"472",2
"473",2
"474",2
"475",2
"476",2
"477",2
"478",2
"479",2
"480",2
"481",2
"482",2
"483",2
"484",2
"485",2
"486",2
"487",2
"488",2
"489",2
"490",2
"491",2
"492",2
"493",2
"494",2
"495",2
"496",2
"497",2
"498",2
"499",2
"500",2
"501",2
"502",2
"503",2
"504",2
"505",2
"506",2
"507",2
"508",2
"509",2
"510",2
"511",2
"512",2
"513",2
"514",2
"515",3
"516",3
"517",3
"518",3
"519",3
"520",3
"521",3
"522",3
"523",3
"524",3
"525",3
"526",3
"527",3
"528",3
"529",3
"530",3
"531",3
"532",3
"533",3
"534",3
"535",3
"536",3
"537",3
"538",3
"539",3
"540",3
"541",3
"542",3
"543",3
"544",3
"545",3
"546",3
"547",3
"548",3
"549",3
"550",3
"551",3
"552",3
"553",3
"554",3
"555",3
"556",3
"557",3
"558",3
"559",3
"560",3
"561",3
"562",3
"563",4
"564",4
"565",4
"566",4
"567",4
"568",4
"569",4
"570",4
"571",4
"572",4
"573",4
"574",4
"575",4
"576",4
"577",4
"578",4
"579",4
"580",4
"581",4
"582",4
"583",4
"584",4
"585",4
"586",4
"587",4
"588",4
"589",4
"590",4
"591",4
"592",4
"593",4
"594",4
"595",4
"596",4
"597",4
"598",4
"599",4
"600",4
"601",4
"602",4
"603",4
"604",4
"605",5
"606",5
"607",5
"608",5
"609",5
"610",5
"611",5
"612",5
"613",5
"614",5
"615",5
"616",5
"617",5
"618",5
"619",5
"620",5
"621",5
"622",5
"623",5
"624",5
"625",5
"626",5
"627",5
"628",5
"629",5
"630",5
"631",5
"632",5
"633",5
"634",5
"635",5
"636",5
"637",6
"638",6
"639",6
"640",6
"641",6
"642",6
"643",6
"644",6
"645",6
"646",6
"647",6
"648",6
"649",6
"650",6
"651",6
"652",6
"653",7
"654",7
"655",7
"656",7
"657",7
"658",7
"659",7
"660",7
"661",7
"662",7
"663",7
"664",7
"665",8
"666",8
"667",8
"668",8
"669",8
"670",8
"671",8
"672",8
"673",8
"674",8
"675",8
"676",8
"677",8
"678",8
"679",8
"680",8
"681",8
"682",8
"683",8
"684",8
"685",9
"686",9
"687",9
"688",9
"689",9
"690",9
"691",9
"692",9
"693",9
"694",9
"695",9
"696",9
"697",9
"698",9
"699",10
"700",10
"701",10
"702",10
"703",10
"704",10
"705",10
"706",10
"707",10
"708",10
"709",10
"710",11
"711",11
"712",11
"713",11
"714",11
"715",11
"716",11
"717",11
"718",11
"719",11
"720",11
"721",12
"722",12
"723",12
"724",12
"725",12
"726",12
"727",12
"728",13
"729",13
"730",13
